s.Endo Acer rubrum,s.Endo Carya ovata,s.Epi Acer rubrum,s.Epi Carya ovata,s.Lit Acer rubrum,s.Lit Carya ovata,s.Soil Acer rubrum,s.Soil Carya ovata,index,stat,p.value
OTU_126,0,0,0,0,0,0,0,1,8,0.706605109054445,0.210765065502183
OTU_415,0,0,0,0,1,0,0,0,5,0.614636297152859,0.452806403940887
OTU_363,0,0,1,0,0,0,0,0,3,0.483419587477411,0.743433694581281
OTU_43,0,0,0,0,0,1,0,0,6,0.82924088746166,0.237418487394958
OTU_27,0,0,0,0,0,0,0,1,8,0.536733548005343,0.467963513513514
OTU_20,1,0,0,0,0,0,0,0,1,0.970759813842721,0.0113192307692308
OTU_2349,0,0,0,0,1,0,0,0,5,0.338061701891407,1
OTU_140,0,0,0,0,0,0,1,0,7,0.447213595499958,0.887354736328125
OTU_101,0,0,0,0,0,0,0,1,8,0.595833282922381,0.362933395522388
OTU_89,0,0,0,0,1,0,0,0,5,0.772691139493392,0.204154054054054
OTU_132,0,0,0,0,0,0,1,0,7,0.613849814044851,0.53941885026738
OTU_62,0,0,0,1,0,0,0,0,4,0.622464646104136,0.152717837837838
OTU_2997,0,0,0,0,1,0,0,0,5,0.825136997007035,0.04782375
OTU_75,0,0,0,1,0,0,0,0,4,0.892960515198733,0.0113192307692308
OTU_686,0,0,0,0,0,0,0,1,8,0.539775902288494,0.453791612903226
OTU_1434,0,0,0,0,0,0,1,0,7,0.316227766016838,1
OTU_934,0,0,0,0,0,1,0,0,6,0.447213595499958,0.887354736328125
OTU_84,0,0,0,0,1,0,0,0,5,0.44494920831461,0.895020463320463
OTU_160,0,0,0,0,0,0,1,0,7,0.849224508601731,0.0553976470588235
OTU_114,0,0,0,1,0,0,0,0,4,0.661853423005651,0.323927516778524
OTU_224,0,0,0,0,0,0,1,0,7,0.447213595499958,0.887354736328125
OTU_960,1,0,0,0,0,0,0,0,1,0.447213595499958,0.887354736328125
OTU_176,0,0,0,0,0,0,1,0,7,0.556537971098412,0.509004299583911
OTU_65,0,0,0,0,0,0,1,0,7,0.629876325993057,0.32445368852459
OTU_34,1,0,0,0,0,0,0,0,1,0.776553548155861,0.094176
OTU_173,0,0,0,1,0,0,0,0,4,0.594949074538736,0.407452380952381
OTU_937,0,0,0,1,0,0,0,0,4,0.776520957813515,0.0696193548387097
OTU_124,0,0,0,0,1,0,0,0,5,0.891929948738828,0.0420428571428571
OTU_215,0,0,0,1,0,0,0,0,4,0.661553681092747,0.254980566801619
OTU_267,0,0,0,0,0,0,1,0,7,0.690410505906933,0.192480568720379
OTU_456,1,0,0,0,0,0,0,0,1,0.593272749876598,0.521640735694823
OTU_103,0,0,0,1,0,0,0,0,4,0.796361209797783,0.0113192307692308
OTU_119,0,0,0,0,0,0,0,1,8,0.399776723398735,0.895020463320463
OTU_536,0,0,0,0,1,0,0,0,5,0.46835332678404,0.887354736328125
OTU_815,0,0,0,0,0,0,0,1,8,0.464095480892257,0.606590657439446
OTU_77,0,0,1,0,0,0,0,0,3,0.550733712343235,0.204154054054054
OTU_153,0,0,0,1,0,0,0,0,4,0.652503831664486,0.415660824742268
OTU_116,1,0,0,0,0,0,0,0,1,0.81613509130053,0.0113192307692308
OTU_210,0,0,0,0,0,0,1,0,7,0.632455532033676,0.32445368852459
OTU_185,0,0,0,0,0,0,0,1,8,0.385527663011837,0.895020463320463
OTU_212,0,0,0,0,0,0,1,0,7,0.447213595499958,0.887354736328125
OTU_105,0,1,0,0,0,0,0,0,2,0.902224384801493,0.0420428571428571
OTU_167,0,0,0,0,1,0,0,0,5,0.871691206704278,0.04782375
OTU_2353,0,1,0,0,0,0,0,0,2,0.506369683541833,0.484508096590909
OTU_2265,0,0,0,0,0,0,0,1,8,0.258198889747161,1
OTU_281,0,0,1,0,0,0,0,0,3,0.962557827813469,0.0113192307692308
OTU_329,0,0,0,0,1,0,0,0,5,0.764661088147767,0.258699193548387
OTU_2407,,,,,,,,,,,
OTU_253,0,0,0,0,1,0,0,0,5,0.894427190999916,0.030978947368421
OTU_496,0,0,0,1,0,0,0,0,4,0.502518907629606,0.548274308300395
OTU_53,0,0,0,0,0,1,0,0,6,0.611810368174245,0.356436276391555
OTU_64,0,0,0,1,0,0,0,0,4,0.694392031565058,0.32445368852459
OTU_139,0,0,0,0,0,0,0,1,8,0.577350269189626,0.41354224137931
OTU_331,0,0,1,0,0,0,0,0,3,0.791004152174232,0.121287272727273
OTU_1947,0,0,0,1,0,0,0,0,4,0.288675134594813,0.96707400251995
OTU_2070,0,0,0,0,0,1,0,0,6,0.447213595499958,0.887354736328125
OTU_325,0,0,0,0,0,0,0,1,8,0.659035930893722,0.32445368852459
OTU_188,0,0,1,0,0,0,0,0,3,0.864813896447833,0.034335
OTU_241,0,0,0,0,0,0,1,0,7,0.659071316323203,0.296440363636364
OTU_1420,0,0,0,0,0,0,1,0,7,0.365148371670111,0.895020463320463
OTU_353,0,0,0,0,0,0,0,1,8,0.447213595499958,0.887354736328125
OTU_70,0,0,0,0,0,1,0,0,6,0.343906712907321,1
OTU_1282,0,0,0,0,0,1,0,0,6,0.447213595499958,0.887354736328125
OTU_659,0,0,0,0,0,0,0,1,8,0.394405318873308,0.895020463320463
OTU_287,0,0,1,0,0,0,0,0,3,0.607429819896463,0.32445368852459
OTU_525,0,0,0,0,0,0,1,0,7,0.348466026218585,0.895020463320463
OTU_1176,0,0,0,0,0,0,0,1,8,0.333333333333333,0.940464182895851
OTU_66,0,0,0,0,1,0,0,0,5,0.654653670707977,0.503689915966386
OTU_51,0,0,0,0,0,1,0,0,6,0.956365069595007,0.030978947368421
OTU_621,0,0,0,0,0,0,0,1,8,0.602625833114414,0.254659591836735
OTU_14,0,0,0,0,1,0,0,0,5,0.629943641981154,0.638611764705882
OTU_226,0,0,0,0,1,0,0,0,5,0.553151060396281,0.467963513513514
