s.Endo,s.Epi,s.Lit,s.Soil,index,stat,p.value
OTU_634,0,1,0,0,2,0.628057553078281,0.0341
OTU_309,0,0,1,0,3,0.632455532033676,0.0026
OTU_596,0,0,0,1,4,0.836660026534076,0.0001
OTU_2875,0,1,0,0,2,0.565720239573695,0.0525
OTU_98,0,0,1,0,3,0.547722557505166,0.0166
OTU_111,0,0,1,0,3,0.726437088379643,0.0009
OTU_1972,0,1,0,0,2,0.408248290463863,0.19
OTU_2236,0,1,0,0,2,0.896636081879062,0.0001
OTU_273,0,0,1,0,3,0.316227766016838,0.6118
OTU_221,0,0,0,1,4,0.447213595499958,0.1182
OTU_100,0,0,1,0,3,0.611613066713459,0.0124
OTU_208,0,0,0,1,4,0.774596669241483,0.0005
OTU_2712,1,1,1,0,11,0.600925212577332,0.1449
OTU_783,1,0,0,1,7,0.451923991526946,0.8242
OTU_383,1,0,0,0,1,0.658472235398038,0.0132
OTU_198,0,0,1,1,10,0.705679663271118,0.0368
OTU_2598,0,1,0,0,2,0.235702260395516,1
OTU_138,0,0,0,1,4,0.863153006472654,0.0001
OTU_447,0,0,1,0,3,0.316227766016838,0.6069
OTU_1650,0,1,1,0,8,0.78829733390783,0.0022
OTU_1046,0,0,0,1,4,0.547722557505166,0.0186
OTU_72,1,1,0,0,5,0.829212138389903,0.0022
OTU_159,1,1,1,0,11,0.872686142825961,0.0013
OTU_142,1,1,1,0,11,0.849836585598797,0.001
OTU_1168,0,0,1,0,3,0.547722557505166,0.023
OTU_1563,0,1,1,0,8,0.267261241912424,1
OTU_231,0,0,1,0,3,0.615029161556765,0.0202
OTU_750,0,0,0,1,4,0.316227766016838,0.6158
OTU_258,0,0,0,1,4,0.316227766016838,0.6036
OTU_1295,0,0,0,1,4,0.632455532033676,0.0026
OTU_88,1,1,1,0,11,0.816496580927726,0.0031
OTU_166,0,0,0,1,4,0.547722557505166,0.0186
OTU_1465,0,0,0,1,4,0.316227766016838,0.5928
OTU_250,1,1,1,0,11,0.645497224367903,0.0576
OTU_1507,0,0,1,0,3,0.316227766016838,0.6075
OTU_502,0,0,1,1,10,0.447213595499958,0.1617
OTU_552,0,0,1,0,3,0.447213595499958,0.1196
OTU_2899,1,1,1,0,11,0.645497224367903,0.0654
OTU_216,0,0,0,1,4,0.447213595499958,0.1186
OTU_1275,0,1,0,0,2,0.235702260395516,1
OTU_99,0,1,0,0,2,0.568895438215072,0.0383
OTU_1582,0,0,1,1,10,0.36291502734548,0.6243
OTU_214,0,0,0,1,4,0.447213595499958,0.1139
OTU_743,0,0,1,0,3,0.316227766016838,0.6118
OTU_238,1,1,0,0,5,0.562662514163981,0.0751
OTU_229,1,0,0,0,1,0.498432598024129,0.0629
OTU_146,0,1,0,0,2,0.945031707313638,0.0001
OTU_407,0,0,1,0,3,0.707106781186548,0.0006
OTU_465,0,0,0,1,4,0.547722557505166,0.0186
OTU_102,1,1,1,0,11,0.552770798392567,0.2718
OTU_3326,1,1,0,0,5,0.823080091507081,0.0004
OTU_1409,0,0,1,0,3,0.447213595499958,0.1196
OTU_194,1,0,1,0,6,0.519845852670018,0.0557
OTU_555,0,0,0,1,4,0.316227766016838,0.6036
OTU_264,0,0,1,0,3,0.559502884944188,0.0437
OTU_200,0,0,1,0,3,0.627645914460848,0.005
OTU_147,0,0,1,0,3,0.447213595499958,0.1105
OTU_312,0,0,0,1,4,0.447213595499958,0.1103
OTU_291,0,0,1,0,3,0.424264068711929,0.1241
OTU_265,0,0,0,1,4,0.632455532033676,0.0033
OTU_2853,0,1,1,0,8,0.636549138083467,0.0416
OTU_2099,0,0,0,1,4,0.316227766016838,0.6137
OTU_487,0,0,0,1,4,0.998825601473863,0.0001
OTU_462,1,1,0,0,5,0.392232270276368,0.4225
OTU_69,0,1,0,0,2,0.965188676656015,0.0001
OTU_664,0,0,1,0,3,0.425596141279145,0.1742
OTU_479,1,1,0,0,5,0.930900497704639,0.0001
OTU_379,0,0,0,1,4,0.447213595499958,0.1115
OTU_623,1,0,0,0,1,0.604956753859595,0.0251
OTU_762,0,0,1,0,3,0.447213595499958,0.1129
