OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_2854	Fungi						
OTU_2855	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Resupinatus	Resupinatus alboniger
OTU_2856	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
OTU_2857	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Claroideoglomeraceae	Claroideoglomus	
OTU_2858	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	Amanita sp 
OTU_2859	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Stephanosporaceae	Cristinia	Cristinia mucida
OTU_2860	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	Phaeosphaeria oryzae
OTU_2861	Fungi	Basidiomycota					
OTU_2862	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
OTU_2863	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Lasiosphaeris	Lasiosphaeris hispida
OTU_2864	Fungi	Ascomycota	Sordariomycetes				
OTU_2865	Fungi	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Seiridium	
OTU_2866	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Virgaria	Virgaria sp 
OTU_2867	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Gibellulopsis	Gibellulopsis sp 
OTU_2868	Fungi	Basidiomycota	Microbotryomycetes				
OTU_2869	Fungi	Glomeromycota	Glomeromycetes	Gigasporales	Gigasporaceae		
OTU_2870	Fungi						
OTU_2871	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_2872	Fungi	Ascomycota	Dothideomycetes	Venturiales			
OTU_2873	Fungi						
OTU_2874	Fungi						
OTU_2875	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	
OTU_2876	Fungi	Ascomycota	Lecanoromycetes				
OTU_2877	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	Glomus macrocarpum
OTU_2878	Fungi	Ascomycota	Lecanoromycetes				
OTU_2879	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Incertae_sedis	Candida	Candida railenensis
OTU_2880	Fungi						
OTU_2881	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
OTU_2882	Fungi	Ascomycota	Orbiliomycetes				
