Root,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_63,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH196875.06FU
OTU_64,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Zymoseptoria,Zymoseptoria_verkleyi|SH196532.06FU
OTU_65,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH214830.06FU
OTU_66,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Incertae_sedis_12_unidentified,Tremellales_sp|SH223473.06FU
OTU_67,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_unidentified,Xylariales_unidentified_1,Xylariales_sp|SH216930.06FU
OTU_68,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Phoma,Phoma_brasiliensis|SH202145.06FU
OTU_69,Root,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiomycetes_unidentified,Exobasidiomycetes_unidentified_1,Exobasidiomycetes_unidentified_1,Exobasidiomycetes_sp|SH199847.06FU
OTU_70,Root,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meripilaceae,Hydnopolyporus,Hydnopolyporus_fimbriatus|SH222036.06FU
OTU_71,Root,Fungi,Zygomycota,Incertae_sedis_10,Kickxellales,Kickxellaceae,Ramicandelaber,Ramicandelaber_sp|SH237550.06FU
OTU_72,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH217659.06FU
OTU_73,Root,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Incertae_sedis_28,Auricularia,Auricularia_sp|SH227093.06FU
OTU_74,Root,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,Tuber_sp_SGT_2012|SH196155.06FU
OTU_75,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Phaeococcomyces,Phaeococcomyces_nigricans|SH241709.06FU
OTU_76,Root,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russulaceae_unidentified,Russulaceae_sp|SH224478.06FU
OTU_77,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae_unidentified,Mycosphaerellaceae_sp|SH216154.06FU
OTU_78,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Sympodiella,Sympodiella_acicola|SH195932.06FU
OTU_79,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Hansfordia,Hansfordia_pulvinata|SH220798.06FU
OTU_80,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Gliocladium,Gliocladium_cibotii|SH219651.06FU
OTU_81,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Adisciso,Adisciso_kaki|SH210427.06FU
OTU_82,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Devriesia,Devriesia_sp|SH195036.06FU
OTU_83,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Amphisphaeriaceae_unidentified,Amphisphaeriaceae_sp|SH210428.06FU
OTU_84,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH201355.06FU
OTU_85,Root,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus,Cryptococcus_terricola|SH215219.06FU
OTU_86,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,Ophiocordyceps_sinensis|SH213998.06FU
OTU_87,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae,Paraconiothyrium,Paraconiothyrium_variabile|SH224124.06FU
