Root,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_450,Root,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturiaceae_unidentified,Venturiaceae_sp|SH195930.06FU
OTU_451,Root,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp|SH239231.06FU
OTU_452,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium_sp_FRC_S1952|SH235276.06FU
OTU_453,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp_W419|SH212347.06FU
OTU_454,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_neglectum|SH200906.06FU
OTU_455,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Hypocrea,Hypocrea_strictipilosa|SH211680.06FU
OTU_456,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH196056.06FU
OTU_457,Root,Fungi,Basidiomycota,Exobasidiomycetes,Tilletiales,Tilletiaceae,Tilletia,Tilletia_sp_YL_2013c|SH190709.06FU
OTU_458,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH241584.06FU
OTU_459,Root,Fungi,Ascomycota,Leotiomycetes,Leotiomycetes_unidentified,Leotiomycetes_unidentified_1,Leotiomycetes_unidentified_1,Leotiomycetes_sp|SH208255.06FU
OTU_460,Root,Fungi,Ascomycota,Sordariomycetes,Trichosphaeriales,Incertae_sedis_26,Incertae_sedis_26_unidentified,Trichosphaeriales_sp|SH237073.06FU
OTU_461,Root,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH207406.06FU
OTU_462,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,Ophiocordyceps_sinensis|SH213998.06FU
OTU_463,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Stachybotrys,Stachybotrys_kampalensis|SH240985.06FU
OTU_464,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Hannaella,Hannaella_luteola|SH197177.06FU
OTU_465,Root,Fungi,Basidiomycota,Agaricomycetes,Boletales,Sclerodermataceae,Scleroderma,Scleroderma_citrinum|SH205931.06FU
OTU_466,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH196059.06FU
OTU_467,Root,Fungi,Basidiomycota,Basidiomycota_unidentified,Basidiomycota_unidentified_1,Basidiomycota_unidentified_1,Basidiomycota_unidentified_1_1,Basidiomycota_sp|SH217991.06FU
OTU_468,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_anatinum|SH192558.06FU
OTU_469,Root,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_sp|SH224428.06FU
OTU_470,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellomycetes_unidentified,Tremellomycetes_unidentified_1,Tremellomycetes_unidentified_1,Tremellomycetes_sp|SH203518.06FU
OTU_471,Root,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium_sp_JTO_2010a|SH215371.06FU
OTU_472,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH208867.06FU
OTU_473,Root,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolus,Ascobolus_sp|SH226965.06FU
OTU_474,Root,Fungi,Ascomycota,Dothideomycetes,Incertae_sedis_8,Incertae_sedis_19,Leptospora,Leptospora_rubella|SH213115.06FU
OTU_475,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH241584.06FU
OTU_476,Root,Fungi,Ascomycota,Sordariomycetes,Sordariales,Incertae_sedis_23,Ascotaiwania,Ascotaiwania_lignicola|SH238838.06FU
OTU_477,Root,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturiaceae_unidentified,Venturiaceae_sp|SH238395.06FU
OTU_478,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH227812.06FU
OTU_479,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH216151.06FU
OTU_480,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Sarocladium,Sarocladium_strictum|SH191575.06FU
OTU_481,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Coniothyrium,Coniothyrium_sp|SH240067.06FU
OTU_482,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordycipitaceae,Ophiocordyceps,Ophiocordyceps_rubiginosiperitheciata|SH227646.06FU
OTU_483,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH233666.06FU
OTU_484,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH201526.06FU
OTU_485,Root,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiales_unidentified,Venturiales_unidentified_1,Venturiales_sp|SH224254.06FU
OTU_486,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Phaeococcomyces,Phaeococcomyces_nigricans|SH241709.06FU
OTU_487,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH214831.06FU
OTU_488,Root,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus,Cryptococcus_sp|SH198015.06FU
OTU_489,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH219457.06FU
OTU_490,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Dermateaceae_unidentified,Dermateaceae_sp|SH216812.06FU
OTU_491,Root,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_unidentified,Thelephoraceae_sp|SH219865.06FU
OTU_492,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH223805.06FU
OTU_493,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Metarhizium,Metarhizium_flavoviride|SH228956.06FU
OTU_494,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Dioszegia,Dioszegia_takashimae|SH196965.06FU
OTU_495,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Hannaella,Hannaella_zeae|SH197183.06FU
OTU_496,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Sporobolomyces,Sporobolomyces_symmetricus|SH227541.06FU
OTU_497,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH207331.06FU
OTU_498,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp|SH223937.06FU
OTU_499,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH194654.06FU
OTU_500,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Hyaloscyphaceae,Hyaloscyphaceae_unidentified,Hyaloscyphaceae_sp|SH209230.06FU
OTU_501,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Sporobolomyces,Sporobolomyces_griseoflavus|SH205575.06FU
OTU_502,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp|SH222167.06FU
OTU_503,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH192912.06FU
OTU_504,Root,Fungi,Basidiomycota,Incertae_sedis_4,Malasseziales,Incertae_sedis_5,Malassezia,Malassezia_globosa|SH190404.06FU
OTU_505,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH204731.06FU
OTU_506,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_unidentified,Xylariales_unidentified_1,Xylariales_sp|SH216931.06FU
OTU_507,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Niaceae,Lachnella,Lachnella_alboviolascens|SH232338.06FU
OTU_508,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Incertae_sedis_17,Rachicladosporium,Rachicladosporium_americanum|SH235213.06FU
OTU_509,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Tremella,Tremella_sp|SH223576.06FU
OTU_510,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_infula|SH197236.06FU
OTU_511,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH204731.06FU
OTU_512,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH193117.06FU
OTU_513,Root,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Pichiaceae,Dekkera,Dekkera_bruxellensis|SH240703.06FU
OTU_514,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Stachybotrys,Stachybotrys_kampalensis|SH240985.06FU
OTU_515,Root,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH218023.06FU
OTU_516,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Sympodiella,Sympodiella_acicola|SH195932.06FU
OTU_517,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Canalisporium,Canalisporium_pulchrum|SH239698.06FU
OTU_518,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_unidentified,Hypocreales_unidentified_1,Hypocreales_sp|SH224305.06FU
OTU_519,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_unidentified,Agaricales_unidentified_1,Agaricales_sp|SH190434.06FU
OTU_520,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Camarophyllus,Camarophyllus_impurus|SH239792.06FU
OTU_521,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala_equina|SH230191.06FU
OTU_522,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Venturiaceae_1,Fusicladium,Fusicladium_africanum|SH232276.06FU
OTU_523,Root,Fungi,Glomeromycota,Glomeromycetes,Archaeosporales,Archaeosporales_unidentified,Archaeosporales_unidentified_1,Archaeosporales_sp|SH240754.06FU
OTU_524,Root,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Agaricostilbaceae,Bensingtonia,Bensingtonia_sp_AS_22601|SH217964.06FU
OTU_525,Root,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_aeruginea|SH207717.06FU
OTU_526,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,Entoloma_undatum|SH200901.06FU
OTU_527,Root,Fungi,Basidiomycota,Incertae_sedis_4,Malasseziales,Incertae_sedis_5,Malassezia,Malassezia_globosa|SH190404.06FU
OTU_528,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Ilyonectria,Ilyonectria_robusta|SH201349.06FU
OTU_529,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH213531.06FU
OTU_530,Root,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH221642.06FU
OTU_531,Root,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidiaceae,Haplotrichum,Haplotrichum_capitatum|SH218030.06FU
OTU_532,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Pulchromyces,Pulchromyces_fimicola|SH227367.06FU
OTU_533,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH189898.06FU
OTU_534,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria,Phaeosphaeria_avenaria_f_sp_tritici_6_MM_2012|SH222153.06FU
OTU_535,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Clavariaceae,Clavariaceae_unidentified,Clavariaceae_sp|SH219285.06FU
OTU_536,Root,Fungi,Ascomycota,Leotiomycetes,Incertae_sedis,Incertae_sedis_1,Meliniomyces,Meliniomyces_sp|SH207199.06FU
OTU_537,Root,Fungi,Basidiomycota,Agaricomycetes,Boletales,Boletales_unidentified,Boletales_unidentified_1,Boletales_sp|SH240519.06FU
OTU_538,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Cryptococcus_1,Cryptococcus_sp|SH197115.06FU
OTU_539,Root,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomeraceae_unidentified,Glomeraceae_sp|SH194308.06FU
OTU_540,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylariaceae_unidentified,Xylariaceae_sp|SH240864.06FU
OTU_541,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Pulchromyces,Pulchromyces_fimicola|SH227367.06FU
OTU_542,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Panellus,Panellus_stypticus|SH218622.06FU
OTU_543,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Devriesia,Devriesia_xanthorrhoeae|SH189981.06FU
OTU_544,Root,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Monochaetia,Monochaetia_monochaeta|SH203270.06FU
OTU_545,Root,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH237144.06FU
OTU_546,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymosphaeriaceae,Didymosphaeria,Didymosphaeria_sp_TS_04_050|SH216703.06FU
OTU_547,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Sclerostagonospora,Sclerostagonospora_sp_CBS_118152|SH224099.06FU
OTU_548,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_unidentified,Hypocreales_unidentified_1,Hypocreales_sp|SH191582.06FU
OTU_549,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH191577.06FU
OTU_550,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH196466.06FU
OTU_551,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH234751.06FU
OTU_552,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_unidentified,Pleosporales_unidentified_1,Pleosporales_sp|SH223601.06FU
OTU_553,Root,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Herpotrichiellaceae_unidentified,Herpotrichiellaceae_sp|SH209738.06FU
OTU_554,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Incertae_sedis_2,Scleropezicula,Scleropezicula_sp|SH209235.06FU
OTU_555,Root,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,Sebacina_sp|SH231695.06FU
OTU_556,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Canalisporium,Canalisporium_pallidum|SH207960.06FU
OTU_557,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Clavicipitaceae,Pochonia,Pochonia_sp_CBS_64685|SH228971.06FU
OTU_558,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Dioszegia,Dioszegia_hungarica|SH196961.06FU
OTU_559,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae_unidentified,Phaeosphaeriaceae_sp|SH227811.06FU
OTU_560,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeriaceae_unidentified,Phaeosphaeriaceae_sp|SH227811.06FU
OTU_561,Root,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetes_unidentified,Archaeorhizomycetes_unidentified_1,Archaeorhizomycetes_unidentified_1,Archaeorhizomycetes_sp|SH240668.06FU
OTU_562,Root,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus_sp|SH236803.06FU
OTU_563,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Acremonium,Acremonium_alternatum|SH234057.06FU
OTU_564,Root,Fungi,Ascomycota,Sordariomycetes,Sordariomycetes_unidentified,Sordariomycetes_unidentified_1,Sordariomycetes_unidentified_1,Sordariomycetes_sp|SH212485.06FU
OTU_565,Root,Fungi,Basidiomycota,Exobasidiomycetes,Incertae_sedis_44,Incertae_sedis_45,Acaromyces,Acaromyces_ingoldii|SH241138.06FU
OTU_566,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH190182.06FU
OTU_567,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Pleosporaceae_unidentified,Pleosporaceae_sp|SH211758.06FU
OTU_568,Root,Fungi,Glomeromycota,Glomeromycetes,Archaeosporales,Archaeosporales_unidentified,Archaeosporales_unidentified_1,Archaeosporales_sp|SH240754.06FU
OTU_569,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricales_unidentified,Agaricales_unidentified_1,Agaricales_sp|SH205122.06FU
OTU_570,Root,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbiliaceae_unidentified,Orbiliaceae_sp|SH223904.06FU
OTU_571,Root,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Penicillium,Penicillium_herquei|SH201036.06FU
OTU_572,Root,Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon,Trichosporon_moniliiforme|SH218731.06FU
OTU_573,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Wojnowicia,Wojnowicia_viburni|SH207003.06FU
OTU_574,Root,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulales_unidentified,Russulales_unidentified_1,Russulales_sp|SH234592.06FU
OTU_575,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Phoma,Phoma_paspali|SH233949.06FU
OTU_576,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Pyrenochaeta,Pyrenochaeta_unguis_hominis|SH196243.06FU
OTU_577,Root,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Corollospora,Corollospora_fusca|SH227352.06FU
OTU_578,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH228601.06FU
OTU_579,Root,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariales_unidentified,Sordariales_unidentified_1,Sordariales_sp|SH220625.06FU
OTU_580,Root,Fungi,Ascomycota,Dothideomycetes,Incertae_sedis_8,Pseudeurotiaceae,Pseudogymnoascus,Pseudogymnoascus_roseus|SH236509.06FU
OTU_581,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Acremonium,Acremonium_rutilum|SH240964.06FU
OTU_582,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH208865.06FU
OTU_583,Root,Fungi,Ascomycota,Pezizomycetes,Pezizales,Ascobolaceae,Ascobolaceae_unidentified,Ascobolaceae_sp|SH226962.06FU
OTU_584,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis_sp_C_LGN_2012|SH229052.06FU
OTU_585,Root,Fungi,Glomeromycota,Glomeromycetes,Paraglomerales,Paraglomeraceae,Paraglomus,Paraglomus_brasilianum|SH236293.06FU
OTU_586,Root,Fungi,Basidiomycota,Tremellomycetes,Cystofilobasidiales,Incertae_sedis_48,Syzygospora,Syzygospora_sp|SH198312.06FU
OTU_587,Root,Fungi,Ascomycota,Leotiomycetes,Leotiales,Leotiaceae,Alatospora,Alatospora_sp|SH207341.06FU
OTU_588,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerellaceae_unidentified,Mycosphaerellaceae_sp|SH220690.06FU
OTU_589,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_sp|SH216113.06FU
OTU_590,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Incertae_sedis_13,Pyrenochaeta,Pyrenochaeta_unguis_hominis|SH196243.06FU
OTU_591,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Hannaella,Hannaella_sp|SH197186.06FU
OTU_592,Root,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_unidentified,Dothideomycetes_unidentified_1,Dothideomycetes_unidentified_1,Dothideomycetes_sp|SH211761.06FU
OTU_593,Root,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetales_unidentified,Hymenochaetales_unidentified_1,Hymenochaetales_sp|SH197309.06FU
OTU_594,Root,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Elaphomycetaceae,Elaphomyces,Elaphomyces_sp|SH204392.06FU
OTU_595,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Hymenoscyphus,Hymenoscyphus_scutula|SH203836.06FU
OTU_596,Root,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Incertae_sedis_3,Ilyonectria,Ilyonectria_anthuriicola|SH217304.06FU
OTU_597,Root,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Incertae_sedis_12,Bandoniozyma,Bandoniozyma_glucofermentans|SH195379.06FU
OTU_598,Root,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Rasamsonia,Rasamsonia_sp|SH223279.06FU
OTU_599,Root,Fungi,Glomeromycota,Glomeromycetes,Archaeosporales,Archaeosporaceae,Archaeosporaceae_unidentified,Archaeosporaceae_sp|SH233112.06FU
OTU_600,Root,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Paecilomyces,Paecilomyces_marquandii|SH235961.06FU
OTU_601,Root,Fungi,Zygomycota,Incertae_sedis_10,Mortierellales,Mortierellaceae,Mortierella,Mortierella_microzygospora|SH215059.06FU
OTU_602,Root,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariales_unidentified,Auriculariales_unidentified_1,Auriculariales_sp|SH223294.06FU
OTU_603,Root,Fungi,Basidiomycota,Exobasidiomycetes,Exobasidiomycetes_unidentified,Exobasidiomycetes_unidentified_1,Exobasidiomycetes_unidentified_1,Exobasidiomycetes_sp|SH228428.06FU
OTU_604,Root,Fungi,Fungi_unidentified,Fungi_unidentified_1,Fungi_unidentified_1,Fungi_unidentified_1_1,Fungi_unidentified_1_1,Fungi_sp|SH198653.06FU
OTU_605,Root,Fungi,Basidiomycota,Agaricomycetes,Agaricomycetes_unidentified,Agaricomycetes_unidentified_1,Agaricomycetes_unidentified_1,Agaricomycetes_sp|SH199927.06FU
OTU_606,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae,Coniothyrium,Coniothyrium_sp_JK27|SH233607.06FU
OTU_607,Root,Fungi,Ascomycota,Incertae_sedis_14,Incertae_sedis_15,Incertae_sedis_16,Chalara,Chalara_sp|SH209345.06FU
OTU_608,Root,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,Tomentella_sp|SH202454.06FU
OTU_609,Root,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Cryptococcus,Cryptococcus_sp|SH203520.06FU
OTU_610,Root,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephoraceae_unidentified,Thelephoraceae_sp|SH213342.06FU
OTU_611,Root,Fungi,Basidiomycota,Microbotryomycetes,Sporidiobolales,Incertae_sedis_25,Sporobolomyces,Sporobolomyces_inositophilus|SH219417.06FU
OTU_612,Root,Fungi,Ascomycota,Archaeorhizomycetes,Archaeorhizomycetes_unidentified,Archaeorhizomycetes_unidentified_1,Archaeorhizomycetes_unidentified_1,Archaeorhizomycetes_sp|SH198649.06FU
OTU_613,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Phaeophleospora,Phaeophleospora_atkinsonii|SH229422.06FU
OTU_614,Root,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora_sp_RHS71404|SH212738.06FU
OTU_615,Root,Fungi,Ascomycota,Ascomycota_unidentified,Ascomycota_unidentified_1,Ascomycota_unidentified_1,Ascomycota_unidentified_1_1,Ascomycota_sp|SH205843.06FU
OTU_616,Root,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiales_unidentified,Helotiales_unidentified_1,Helotiales_sp|SH194385.06FU
OTU_617,Root,Fungi,Ascomycota,Sordariomycetes,Microascales,Halosphaeriaceae,Corollospora,Corollospora_fusca|SH227352.06FU
OTU_618,Root,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Stagonospora,Stagonospora_pseudovitensis|SH199974.06FU
